" Landtagswahl 2003 - Stimmen - 28.09.2003",,,,"(Stand 29.09.2003 17:09)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Nr.","Name","Wahlbe-","abgegeb.","Wahlbet.","ungültige",,"gültige",,"ÖVP",,"SPÖ",,"FPÖ",,"GRÜNE",,"KPÖ",,"erste Eingabe",,"letzte Eingabe",
41338,"Sarleinsbach                  ",1704,1436,84.27,32,2.23,1404,97.77,911,64.89,284,20.23,118,8.4,86,6.13,5,0.36,"28.09.03",0.7,"28.09.03",0.77
41339,"Schlägl                       ",1052,864,82.13,30,3.47,834,96.53,471,56.47,269,32.25,34,4.08,55,6.59,5,0.6,"28.09.03",0.72,"28.09.03",0.77
41340,"Schönegg                      ",408,369,90.44,3,0.81,366,99.19,218,59.56,128,34.97,15,4.1,4,1.09,1,0.27,"28.09.03",0.65,"28.09.03",0.65
41341,"Schwarzenberg am Böhmerwald   ",495,451,91.11,8,1.77,443,98.23,274,61.85,109,24.6,37,8.35,22,4.97,1,0.23,"28.09.03",0.65,"28.09.03",0.65
41342,"Ulrichsberg                   ",2306,1926,83.52,53,2.75,1873,97.25,1005,53.66,548,29.26,139,7.42,154,8.22,27,1.44,"28.09.03",0.79,"28.09.03",0.79
41400,"Bezirk Schärding                     ",41891,34971,83.48,1002,2.87,33969,97.13,17638,51.92,9587,28.22,4569,13.45,1933,5.69,242,0.71,"28.09.03",0.83,"28.09.03",0.83
41401,"Altschwendt                   ",499,457,91.58,6,1.31,451,98.69,257,56.98,116,25.72,50,11.09,27,5.99,1,0.22,"28.09.03",0.68,"28.09.03",0.68
41402,"Andorf                        ",3642,2986,81.99,71,2.38,2915,97.62,1272,43.64,1055,36.19,416,14.27,151,5.18,21,0.72,"28.09.03",0.82,"28.09.03",0.82
41403,"Brunnenthal                   ",1447,1144,79.06,31,2.71,1113,97.29,543,48.79,271,24.35,202,18.15,89,8,8,0.72,"28.09.03",0.8,"28.09.03",0.8
41404,"Diersbach                     ",1235,1082,87.61,13,1.2,1069,98.8,561,52.48,255,23.85,170,15.9,77,7.2,6,0.56,"28.09.03",0.73,"28.09.03",0.73
41405,"Dorf an der Pram              ",740,623,84.19,19,3.05,604,96.95,372,61.59,135,22.35,63,10.43,33,5.46,1,0.17,"28.09.03",0.69,"28.09.03",0.69
41406,"Eggerding                     ",976,776,79.51,27,3.48,749,96.52,464,61.95,135,18.02,111,14.82,34,4.54,5,0.67,"28.09.03",0.81,"28.09.03",0.81
41407,"Engelhartszell                ",841,679,80.74,25,3.68,654,96.32,396,60.55,156,23.85,61,9.33,38,5.81,3,0.46,"28.09.03",0.76,"28.09.03",0.76
41408,"Enzenkirchen                  ",1318,1191,90.36,32,2.69,1159,97.31,485,41.85,470,40.55,166,14.32,34,2.93,4,0.35,"28.09.03",0.82,"28.09.03",0.82
41409,"Esternberg                    ",2033,1617,79.54,49,3.03,1568,96.97,943,60.14,279,17.79,271,17.28,60,3.83,15,0.96,"28.09.03",0.73,"28.09.03",0.73
41410,"Freinberg                     ",961,800,83.25,14,1.75,786,98.25,443,56.36,261,33.21,59,7.51,22,2.8,1,0.13,"28.09.03",0.75,"28.09.03",0.75
41411,"Kopfing im Innkreis           ",1552,1341,86.4,39,2.91,1302,97.09,682,52.38,334,25.65,207,15.9,59,4.53,20,1.54,"28.09.03",0.8,"28.09.03",0.8
41412,"Mayrhof                       ",193,173,89.64,6,3.47,167,96.53,130,77.84,14,8.38,17,10.18,6,3.59,0,0,"28.09.03",0.54,"28.09.03",0.54
41413,"Münzkirchen                   ",1934,1598,82.63,52,3.25,1546,96.75,852,55.11,371,24,222,14.36,90,5.82,11,0.71,"28.09.03",0.76,"28.09.03",0.76
41414,"Raab                          ",1729,1429,82.65,46,3.22,1383,96.78,658,47.58,333,24.08,270,19.52,112,8.1,10,0.72,"28.09.03",0.73,"28.09.03",0.73
41415,"Rainbach im Innkreis          ",1128,1010,89.54,26,2.57,984,97.43,526,53.46,239,24.29,164,16.67,49,4.98,6,0.61,"28.09.03",0.77,"28.09.03",0.77
41416,"Riedau                        ",1471,1172,79.67,31,2.65,1141,97.35,473,41.45,446,39.09,123,10.78,88,7.71,11,0.96,"28.09.03",0.71,"28.09.03",0.71
41417,"St.Aegidi                     ",1245,1052,84.5,26,2.47,1026,97.53,689,67.15,177,17.25,110,10.72,41,4,9,0.88,"28.09.03",0.69,"28.09.03",0.69
41418,"St.Florian am Inn             ",2239,1826,81.55,37,2.03,1789,97.97,789,44.1,727,40.64,154,8.61,100,5.59,19,1.06,"28.09.03",0.75,"28.09.03",0.75
41419,"St.Marienkirchen bei Schärding",1388,1103,79.47,38,3.45,1065,96.55,559,52.49,224,21.03,200,18.78,70,6.57,12,1.13,"28.09.03",0.74,"28.09.03",0.74
41420,"St.Roman                      ",1300,1115,85.77,41,3.68,1074,96.32,726,67.6,152,14.15,139,12.94,40,3.72,17,1.58,"28.09.03",0.69,"28.09.03",0.69
41421,"St.Willibald                  ",865,755,87.28,21,2.78,734,97.22,359,48.91,226,30.79,118,16.08,28,3.81,3,0.41,"28.09.03",0.74,"28.09.03",0.74
41422,"Schärding                     ",3815,3063,80.29,97,3.17,2966,96.83,1261,42.52,1094,36.88,356,12,246,8.29,9,0.3,"28.09.03",0.83,"28.09.03",0.83
41423,"Schardenberg                  ",1640,1355,82.62,49,3.62,1306,96.38,810,62.02,259,19.83,158,12.1,73,5.59,6,0.46,"28.09.03",0.81,"28.09.03",0.81
41424,"Sigharting                    ",578,501,86.68,20,3.99,481,96.01,281,58.42,93,19.33,84,17.46,20,4.16,3,0.62,"28.09.03",0.79,"28.09.03",0.79
41425,"Suben                         ",882,769,87.19,20,2.6,749,97.4,366,48.87,240,32.04,90,12.02,44,5.87,9,1.2,"28.09.03",0.75,"28.09.03",0.75
41426,"Taufkirchen an der Pram       ",2141,1862,86.97,51,2.74,1811,97.26,800,44.17,670,37,237,13.09,97,5.36,7,0.39,"28.09.03",0.75,"28.09.03",0.75
41427,"Vichtenstein                  ",469,412,87.85,14,3.4,398,96.6,248,62.31,63,15.83,67,16.83,14,3.52,6,1.51,"28.09.03",0.66,"28.09.03",0.66
41428,"Waldkirchen am Wesen          ",1015,900,88.67,37,4.11,863,95.89,496,57.47,231,26.77,93,10.78,39,4.52,4,0.46,"28.09.03",0.73,"28.09.03",0.73
41429,"Wernstein am Inn              ",1168,970,83.05,34,3.51,936,96.49,487,52.03,320,34.19,82,8.76,40,4.27,7,0.75,"28.09.03",0.81,"28.09.03",0.81
41430,"Zell an der Pram              ",1447,1210,83.62,30,2.48,1180,97.52,710,60.17,241,20.42,109,9.24,112,9.49,8,0.68,"28.09.03",0.8,"28.09.03",0.8
41500,"Bezirk Steyr-Land                    ",43704,36443,83.39,923,2.53,35520,97.47,16678,46.95,13360,37.61,2442,6.88,2796,7.87,244,0.69,"28.09.03",0.76,"28.09.03",0.76
41501,"Adlwang                       ",1158,943,81.43,23,2.44,920,97.56,525,57.07,203,22.07,108,11.74,74,8.04,10,1.09,"28.09.03",0.68,"28.09.03",0.68
41502,"Aschach an der Steyr          ",1575,1290,81.9,31,2.4,1259,97.6,640,50.83,380,30.18,71,5.64,160,12.71,8,0.64,"28.09.03",0.69,"28.09.03",0.69
41503,"Bad Hall                      ",3512,2815,80.15,78,2.77,2737,97.23,1239,45.27,944,34.49,305,11.14,235,8.59,14,0.51,"28.09.03",0.7,"28.09.03",0.75
41504,"Dietach                       ",1887,1527,80.92,43,2.82,1484,97.18,678,45.69,552,37.2,94,6.33,152,10.24,8,0.54,"28.09.03",0.63,"28.09.03",0.63
41505,"Gaflenz                       ",1360,1172,86.18,20,1.71,1152,98.29,650,56.42,358,31.08,78,6.77,63,5.47,3,0.26,"28.09.03",0.7,"28.09.03",0.7
41506,"Garsten                       ",4759,3873,81.38,112,2.89,3761,97.11,1736,46.16,1290,34.3,249,6.62,450,11.96,36,0.96,"28.09.03",0.7,"28.09.03",0.7
41507,"Großraming                    ",2152,1926,89.5,60,3.12,1866,96.88,904,48.45,688,36.87,125,6.7,139,7.45,10,0.54,"28.09.03",0.76,"28.09.03",0.76
41508,"Laussa                        ",974,872,89.53,23,2.64,849,97.36,454,53.47,261,30.74,83,9.78,45,5.3,6,0.71,"28.09.03",0.7,"28.09.03",0.7
41509,"Losenstein                    ",1347,1172,87.01,21,1.79,1151,98.21,553,48.05,434,37.71,75,6.52,80,6.95,9,0.78,"28.09.03",0.76,"28.09.03",0.76
41510,"Maria Neustift                ",1187,1032,86.94,17,1.65,1015,98.35,704,69.36,214,21.08,51,5.02,46,4.53,0,0,"28.09.03",0.7,"28.09.03",0.7
41511,"Pfarrkirchen bei Bad Hall     ",1579,1345,85.18,47,3.49,1298,96.51,615,47.38,472,36.36,104,8.01,105,8.09,2,0.15,"28.09.03",0.71,"28.09.03",0.71
41512,"Reichraming                   ",1447,1273,87.98,24,1.89,1249,98.11,334,26.74,780,62.45,54,4.32,74,5.92,7,0.56,"28.09.03",0.74,"28.09.03",0.74
41513,"Rohr im Kremstal              ",884,734,83.03,11,1.5,723,98.5,399,55.19,228,31.54,33,4.56,59,8.16,4,0.55,"28.09.03",0.64,"28.09.03",0.64
41514,"St.Ulrich bei Steyr           ",2353,1901,80.79,44,2.31,1857,97.69,963,51.86,574,30.91,114,6.14,184,9.91,22,1.18,"28.09.03",0.69,"28.09.03",0.69
41515,"Schiedlberg                   ",936,775,82.8,22,2.84,753,97.16,495,65.74,169,22.44,48,6.37,34,4.52,7,0.93,"28.09.03",0.67,"28.09.03",0.67
41516,"Sierning                      ",6637,5356,80.7,153,2.86,5203,97.14,1838,35.33,2670,51.32,316,6.07,337,6.48,42,0.81,"28.09.03",0.74,"28.09.03",0.74
41517,"Ternberg                      ",2531,2166,85.58,49,2.26,2117,97.74,1090,51.49,697,32.92,141,6.66,176,8.31,13,0.61,"28.09.03",0.69,"28.09.03",0.69
41518,"Waldneukirchen                ",1618,1357,83.87,21,1.55,1336,98.45,739,55.31,379,28.37,134,10.03,77,5.76,7,0.52,"28.09.03",0.67,"28.09.03",0.67
41519,"Weyer-Land                    ",1822,1588,87.16,19,1.2,1569,98.8,650,41.43,758,48.31,65,4.14,89,5.67,7,0.45,"28.09.03",0.72,"28.09.03",0.72
41520,"Weyer-Markt                   ",1764,1480,83.9,45,3.04,1435,96.96,547,38.12,673,46.9,96,6.69,109,7.6,10,0.7,"28.09.03",0.74,"28.09.03",0.74
41521,"Wolfern                       ",2222,1846,83.08,60,3.25,1786,96.75,925,51.79,636,35.61,98,5.49,108,6.05,19,1.06,"28.09.03",0.67,"28.09.03",0.67
41600,"Bezirk Urfahr-Umgebung               ",59616,49380,82.83,1269,2.57,48111,97.43,23373,48.58,15365,31.94,2936,6.1,6027,12.53,410,0.85,"28.09.03",0.79,"28.09.03",0.79
41601,"Alberndorf in der Riedmark    ",2700,2238,82.89,56,2.5,2182,97.5,1135,52.02,676,30.98,139,6.37,213,9.76,19,0.87,"28.09.03",0.72,"28.09.03",0.75
41602,"Altenberg bei Linz            ",3120,2559,82.02,84,3.28,2475,96.72,1348,54.46,646,26.1,143,5.78,318,12.85,20,0.81,"28.09.03",0.7,"28.09.03",0.7
41603,"Bad Leonfelden                ",2915,2501,85.8,72,2.88,2429,97.12,1522,62.66,497,20.46,149,6.13,235,9.67,26,1.07,"28.09.03",0.74,"28.09.03",0.74
41604,"Eidenberg                     ",1366,1171,85.72,32,2.73,1139,97.27,709,62.25,267,23.44,62,5.44,85,7.46,16,1.4,"28.09.03",0.67,"28.09.03",0.67
41605,"Engerwitzdorf                 ",5892,4757,80.74,148,3.11,4609,96.89,2038,44.22,1666,36.15,288,6.25,584,12.67,33,0.72,"28.09.03",0.73,"28.09.03",0.73
41606,"Feldkirchen an der Donau      ",3928,3380,86.05,68,2.01,3312,97.99,1422,42.93,1312,39.61,271,8.18,284,8.57,23,0.69,"28.09.03",0.76,"28.09.03",0.76
41607,"Gallneukirchen                ",4562,3578,78.43,63,1.76,3515,98.24,1374,39.09,1224,34.82,192,5.46,698,19.86,27,0.77,"28.09.03",0.78,"28.09.03",0.78
41608,"Goldwörth                     ",654,536,81.96,19,3.54,517,96.46,272,52.61,172,33.27,21,4.06,49,9.48,3,0.58,"28.09.03",0.64,"28.09.03",0.64
41609,"Gramastetten                  ",3547,2922,82.38,61,2.09,2861,97.91,1527,53.37,757,26.46,151,5.28,411,14.37,15,0.52,"28.09.03",0.77,"28.09.03",0.77
41610,"Haibach im Mühlkreis          ",608,524,86.18,18,3.44,506,96.56,277,54.74,161,31.82,26,5.14,38,7.51,4,0.79,"28.09.03",0.7,"28.09.03",0.7
41611,"Hellmonsödt                   ",1570,1299,82.74,45,3.46,1254,96.54,565,45.06,398,31.74,96,7.66,176,14.04,19,1.52,"28.09.03",0.76,"28.09.03",0.76
41612,"Herzogsdorf                   ",1773,1492,84.15,26,1.74,1466,98.26,872,59.48,381,25.99,96,6.55,107,7.3,10,0.68,"28.09.03",0.72,"28.09.03",0.72
41613,"Kirchschlag bei Linz          ",1444,1182,81.86,34,2.88,1148,97.12,572,49.83,351,30.57,76,6.62,141,12.28,8,0.7,"28.09.03",0.78,"28.09.03",0.78
41614,"Lichtenberg                   ",1866,1572,84.24,38,2.42,1534,97.58,751,48.96,448,29.2,91,5.93,242,15.78,2,0.13,"28.09.03",0.71,"28.09.03",0.71
41615,"Oberneukirchen                ",2319,1941,83.7,64,3.3,1877,96.7,1027,54.71,495,26.37,126,6.71,208,11.08,21,1.12,"28.09.03",0.72,"28.09.03",0.72
41616,"Ottenschlag im Mühlkreis      ",366,319,87.16,4,1.25,315,98.75,184,58.41,100,31.75,20,6.35,9,2.86,2,0.63,"28.09.03",0.66,"28.09.03",0.66
41617,"Ottensheim                    ",3302,2704,81.89,38,1.41,2666,98.59,1152,43.21,826,30.98,152,5.7,498,18.68,38,1.43,"28.09.03",0.79,"28.09.03",0.79
41618,"Puchenau                      ",3653,2784,76.21,72,2.59,2712,97.41,1031,38.02,890,32.82,189,6.97,573,21.13,29,1.07,"28.09.03",0.7,"28.09.03",0.7
41619,"Reichenau im Mühlkreis        ",854,753,88.17,14,1.86,739,98.14,389,52.64,229,30.99,49,6.63,64,8.66,8,1.08,"28.09.03",0.7,"28.09.03",0.7
41620,"Reichenthal                   ",1039,916,88.16,21,2.29,895,97.71,537,60,249,27.82,33,3.69,70,7.82,6,0.67,"28.09.03",0.73,"28.09.03",0.73
41621,"St.Gotthard im Mühlkreis      ",998,837,83.87,25,2.99,812,97.01,379,46.67,287,35.34,55,6.77,83,10.22,8,0.99,"28.09.03",0.7,"28.09.03",0.7
41622,"Schenkenfelden                ",1124,941,83.72,31,3.29,910,96.71,521,57.25,245,26.92,64,7.03,72,7.91,8,0.88,"28.09.03",0.63,"28.09.03",0.63
41623,"Sonnberg im Mühlkreis         ",574,502,87.46,26,5.18,476,94.82,275,57.77,134,28.15,23,4.83,39,8.19,5,1.05,"28.09.03",0.7,"28.09.03",0.7
41624,"Steyregg                      ",3720,3073,82.61,74,2.41,2999,97.59,1050,35.01,1366,45.55,206,6.87,349,11.64,28,0.93,"28.09.03",0.73,"28.09.03",0.73
41625,"Vorderweißenbach              ",1524,1324,86.88,39,2.95,1285,97.05,859,66.85,273,21.25,64,4.98,80,6.23,9,0.7,"28.09.03",0.71,"28.09.03",0.71
41626,"Walding                       ",2888,2478,85.8,67,2.7,2411,97.3,963,39.94,1063,44.09,103,4.27,272,11.28,10,0.41,"28.09.03",0.7,"28.09.03",0.7
41627,"Zwettl an der Rodl            ",1310,1097,83.74,30,2.73,1067,97.27,622,58.29,252,23.62,51,4.78,129,12.09,13,1.22,"28.09.03",0.63,"28.09.03",0.63
41700,"Bezirk Vöcklabruck                   ",92909,74664,80.36,2136,2.86,72528,97.14,32917,45.39,26235,36.17,6175,8.51,6704,9.24,497,0.69,"28.09.03",0.83,"28.09.03",0.95
41701,"Ampflwang im Hausruckwald     ",2765,2288,82.75,55,2.4,2233,97.6,564,25.26,1398,62.61,127,5.69,119,5.33,25,1.12,"28.09.03",0.69,"28.09.03",0.69
41702,"Attersee                      ",1136,896,78.87,13,1.45,883,98.55,463,52.43,258,29.22,66,7.47,91,10.31,5,0.57,"28.09.03",0.71,"28.09.03",0.71
41703,"Attnang-Puchheim              ",6151,4589,74.61,126,2.75,4463,97.25,1329,29.78,2220,49.74,412,9.23,446,9.99,56,1.25,"28.09.03",0.74,"28.09.03",0.74
41704,"Atzbach                       ",856,688,80.37,14,2.03,674,97.97,394,58.46,130,19.29,76,11.28,65,9.64,9,1.34,"28.09.03",0.66,"28.09.03",0.66
41705,"Aurach am Hongar              ",1119,957,85.52,21,2.19,936,97.81,394,42.09,408,43.59,78,8.33,51,5.45,5,0.53,"28.09.03",0.67,"28.09.03",0.67
41706,"Berg im Attergau              ",716,598,83.52,16,2.68,582,97.32,434,74.57,77,13.23,52,8.93,19,3.26,0,0,"28.09.03",0.57,"28.09.03",0.57
41707,"Desselbrunn                   ",1170,1012,86.5,17,1.68,995,98.32,457,45.93,391,39.3,59,5.93,81,8.14,7,0.7,"28.09.03",0.83,"28.09.03",0.83
41708,"Fornach                       ",626,545,87.06,14,2.57,531,97.43,356,67.04,93,17.51,47,8.85,32,6.03,3,0.56,"28.09.03",0.65,"28.09.03",0.65
41709,"Frankenburg am Hausruck       ",3741,3181,85.03,116,3.65,3065,96.35,1214,39.61,1334,43.52,276,9,220,7.18,21,0.69,"28.09.03",0.76,"28.09.03",0.76
41710,"Frankenmarkt                  ",2550,2050,80.39,76,3.71,1974,96.29,990,50.15,714,36.17,119,6.03,141,7.14,10,0.51,"28.09.03",0.74,"28.09.03",0.74
41711,"Gampern                       ",1876,1562,83.26,59,3.78,1503,96.22,817,54.36,450,29.94,80,5.32,149,9.91,7,0.47,"28.09.03",0.81,"28.09.03",0.81
41712,"Innerschwand                  ",755,596,78.94,21,3.52,575,96.48,418,72.7,93,16.17,27,4.7,32,5.57,5,0.87,"28.09.03",0.72,"28.09.03",0.72
41713,"Lenzing                       ",3872,3045,78.64,79,2.59,2966,97.41,618,20.84,1814,61.16,279,9.41,231,7.79,24,0.81,"28.09.03",0.75,"28.09.03",0.75
41714,"Manning                       ",624,558,89.42,11,1.97,547,98.03,318,58.14,139,25.41,29,5.3,61,11.15,0,0,"28.09.03",0.68,"28.09.03",0.74
41715,"Mondsee                       ",2208,1539,69.7,47,3.05,1492,96.95,844,56.57,325,21.78,176,11.8,140,9.38,7,0.47,"28.09.03",0.73,"28.09.03",0.82
41716,"Neukirchen an der Vöckla      ",1889,1505,79.67,46,3.06,1459,96.94,736,50.45,432,29.61,146,10.01,140,9.6,5,0.34,"28.09.03",0.74,"28.09.03",0.74
41717,"Niederthalheim                ",771,692,89.75,10,1.45,682,98.55,367,53.81,147,21.55,100,14.66,66,9.68,2,0.29,"28.09.03",0.65,"28.09.03",0.69
41718,"Nußdorf am Attersee           ",772,635,82.25,10,1.57,625,98.43,339,54.24,104,16.64,137,21.92,43,6.88,2,0.32,"28.09.03",0.68,"28.09.03",0.73
41719,"Oberhofen am Irrsee           ",984,787,79.98,11,1.4,776,98.6,422,54.38,249,32.09,59,7.6,41,5.28,5,0.64,"28.09.03",0.7,"28.09.03",0.79
41720,"Oberndorf bei Schwanenstadt   ",1053,876,83.19,32,3.65,844,96.35,360,42.65,263,31.16,97,11.49,117,13.86,7,0.83,"28.09.03",0.72,"28.09.03",0.72
41721,"Oberwang                      ",1131,951,84.08,32,3.36,919,96.64,700,76.17,120,13.06,73,7.94,24,2.61,2,0.22,"28.09.03",0.7,"28.09.03",0.7
41722,"Ottnang am Hausruck           ",2852,2449,85.87,74,3.02,2375,96.98,988,41.6,1052,44.29,177,7.45,149,6.27,9,0.38,"28.09.03",0.77,"28.09.03",0.77
41723,"Pfaffing                      ",1032,850,82.36,28,3.29,822,96.71,378,45.99,340,41.36,43,5.23,55,6.69,6,0.73,"28.09.03",0.75,"28.09.03",0.75
41724,"Pilsbach                      ",441,404,91.61,10,2.48,394,97.52,206,52.28,124,31.47,23,5.84,40,10.15,1,0.25,"28.09.03",0.67,"28.09.03",0.67
41725,"Pitzenberg                    ",367,302,82.29,8,2.65,294,97.35,140,47.62,85,28.91,41,13.95,27,9.18,1,0.34,"28.09.03",0.53,"28.09.03",0.63
41726,"Pöndorf                       ",1701,1349,79.31,55,4.08,1294,95.92,682,52.7,437,33.77,116,8.96,54,4.17,5,0.39,"28.09.03",0.7,"28.09.03",0.7
41727,"Puchkirchen am Trattberg      ",664,577,86.9,17,2.95,560,97.05,298,53.21,157,28.04,24,4.29,79,14.11,2,0.36,"28.09.03",0.73,"28.09.03",0.82
41728,"Pühret                        ",437,367,83.98,16,4.36,351,95.64,196,55.84,95,27.07,20,5.7,39,11.11,1,0.28,"28.09.03",0.57,"28.09.03",0.63
41729,"Redleiten                     ",329,290,88.15,8,2.76,282,97.24,142,50.35,101,35.82,32,11.35,7,2.48,0,0,"28.09.03",0.6,"28.09.03",0.6
41730,"Redlham                       ",998,849,85.07,20,2.36,829,97.64,371,44.75,285,34.38,63,7.6,106,12.79,4,0.48,"28.09.03",0.69,"28.09.03",0.77
41731,"Regau                         ",4188,3215,76.77,109,3.39,3106,96.61,1298,41.79,1127,36.28,286,9.21,365,11.75,30,0.97,"28.09.03",0.74,"28.09.03",0.74
41732,"Rüstorf                       ",1444,1192,82.55,34,2.85,1158,97.15,465,40.16,478,41.28,87,7.51,122,10.54,6,0.52,"28.09.03",0.8,"28.09.03",0.81
41733,"Rutzenham                     ",180,161,89.44,3,1.86,158,98.14,102,64.56,11,6.96,13,8.23,31,19.62,1,0.63,"28.09.03",0.5,"28.09.03",0.63
41734,"St.Georgen im Attergau        ",2720,2219,81.58,69,3.11,2150,96.89,1159,53.91,523,24.33,259,12.05,201,9.35,8,0.37,"28.09.03",0.74,"28.09.03",0.74
41735,"St.Lorenz                     ",1419,1094,77.1,25,2.29,1069,97.71,708,66.23,195,18.24,76,7.11,85,7.95,5,0.47,"28.09.03",0.73,"28.09.03",0.73
41736,"Schlatt                       ",962,790,82.12,22,2.78,768,97.22,351,45.7,248,32.29,79,10.29,89,11.59,1,0.13,"28.09.03",0.78,"28.09.03",0.83
41737,"Schörfling am Attersee        ",2344,1893,80.76,61,3.22,1832,96.78,776,42.36,663,36.19,205,11.19,180,9.83,8,0.44,"28.09.03",0.76,"28.09.03",0.76
41738,"Schwanenstadt                 ",2858,2251,78.76,57,2.53,2194,97.47,848,38.65,781,35.6,221,10.07,324,14.77,20,0.91,"28.09.03",0.74,"28.09.03",0.95
41739,"Seewalchen am Attersee        ",3659,2905,79.39,83,2.86,2822,97.14,1214,43.02,1024,36.29,282,9.99,281,9.96,21,0.74,"28.09.03",0.69,"28.09.03",0.69
41740,"Steinbach am Attersee         ",632,550,87.03,9,1.64,541,98.36,297,54.9,148,27.36,49,9.06,44,8.13,3,0.55,"28.09.03",0.81,"28.09.03",0.81
41741,"Straß im Attergau             ",1034,838,81.04,27,3.22,811,96.78,488,60.17,162,19.98,111,13.69,39,4.81,11,1.36,"28.09.03",0.78,"28.09.03",0.78
41742,"Tiefgraben                    ",2232,1718,76.97,32,1.86,1686,98.14,1112,65.95,316,18.74,151,8.96,100,5.93,7,0.42,"28.09.03",0.7,"28.09.03",0.7
41743,"Timelkam                      ",4314,3488,80.85,95,2.72,3393,97.28,1177,34.69,1667,49.13,215,6.34,312,9.2,22,0.65,"28.09.03",0.74,"28.09.03",0.74
41744,"Ungenach                      ",977,847,86.69,22,2.6,825,97.4,496,60.12,180,21.82,61,7.39,78,9.45,10,1.21,"28.09.03",0.76,"28.09.03",0.76
41745,"Unterach am Attersee          ",1075,886,82.42,19,2.14,867,97.86,414,47.75,309,35.64,69,7.96,70,8.07,5,0.58,"28.09.03",0.72,"28.09.03",0.73
41746,"Vöcklabruck                   ",8653,6553,75.73,173,2.64,6380,97.36,2584,40.5,2346,36.77,460,7.21,943,14.78,47,0.74,"28.09.03",0.74,"28.09.03",0.74
41747,"Vöcklamarkt                   ",3380,2655,78.55,106,3.99,2549,96.01,1340,52.57,784,30.76,199,7.81,208,8.16,18,0.71,"28.09.03",0.71,"28.09.03",0.71
41748,"Weißenkirchen im Attergau     ",715,578,80.84,32,5.54,546,94.46,358,65.57,129,23.63,31,5.68,24,4.4,4,0.73,"28.09.03",0.65,"28.09.03",0.65
41749,"Weyregg am Attersee           ",1154,992,85.96,19,1.92,973,98.08,478,49.13,307,31.55,91,9.35,90,9.25,7,0.72,"28.09.03",0.67,"28.09.03",0.67
41750,"Wolfsegg am Hausruck          ",1501,1294,86.21,34,2.63,1260,97.37,464,36.83,591,46.9,82,6.51,113,8.97,10,0.79,"28.09.03",0.69,"28.09.03",0.69
41751,"Zell am Moos                  ",1008,801,79.46,24,3,777,97,490,63.06,187,24.07,41,5.28,53,6.82,6,0.77,"28.09.03",0.68,"28.09.03",0.68
41752,"Zell am Pettenfirst           ",874,757,86.61,19,2.51,738,97.49,363,49.19,224,30.35,53,7.18,87,11.79,11,1.49,"28.09.03",0.72,"28.09.03",0.72
41800,"Bezirk Wels-Land                     ",46666,38209,81.88,948,2.48,37261,97.52,15929,42.75,13987,37.54,3886,10.43,3209,8.61,250,0.67,"28.09.03",0.8,"28.09.03",0.84
41801,"Aichkirchen                   ",384,345,89.84,12,3.48,333,96.52,213,63.96,49,14.71,54,16.22,16,4.8,1,0.3,"28.09.03",0.56,"28.09.03",0.56
41802,"Bachmanning                   ",443,380,85.78,4,1.05,376,98.95,155,41.22,133,35.37,59,15.69,29,7.71,0,0,"28.09.03",0.58,"28.09.03",0.58
41803,"Bad Wimsbach-Neydharting      ",1747,1474,84.37,32,2.17,1442,97.83,703,48.75,529,36.69,102,7.07,95,6.59,13,0.9,"28.09.03",0.64,"28.09.03",0.64
41804,"Buchkirchen                   ",2745,2252,82.04,49,2.18,2203,97.82,877,39.81,951,43.17,152,6.9,196,8.9,27,1.23,"28.09.03",0.71,"28.09.03",0.71
41805,"Eberstalzell                  ",1604,1299,80.99,32,2.46,1267,97.54,772,60.93,211,16.65,185,14.6,87,6.87,12,0.95,"28.09.03",0.68,"28.09.03",0.68
41806,"Edt bei Lambach               ",1520,1297,85.33,42,3.24,1255,96.76,589,46.93,421,33.55,151,12.03,87,6.93,7,0.56,"28.09.03",0.66,"28.09.03",0.66
41807,"Fischlham                     ",936,822,87.82,22,2.68,800,97.32,460,57.5,226,28.25,52,6.5,59,7.38,3,0.38,"28.09.03",0.7,"28.09.03",0.7
41808,"Gunskirchen                   ",3969,3302,83.19,104,3.15,3198,96.85,1336,41.78,1173,36.68,402,12.57,263,8.22,24,0.75,"28.09.03",0.73,"28.09.03",0.73
41809,"Holzhausen                    ",475,419,88.21,6,1.43,413,98.57,171,41.4,164,39.71,40,9.69,38,9.2,0,0,"28.09.03",0.56,"28.09.03",0.56
41810,"Krenglbach                    ",2059,1769,85.92,46,2.6,1723,97.4,677,39.29,713,41.38,168,9.75,157,9.11,8,0.46,"28.09.03",0.7,"28.09.03",0.7
41811,"Lambach                       ",2263,1642,72.56,61,3.71,1581,96.29,671,42.44,574,36.31,182,11.51,146,9.23,8,0.51,"28.09.03",0.67,"28.09.03",0.67
41812,"Marchtrenk                    ",8329,6580,79,155,2.36,6425,97.64,1870,29.11,3449,53.68,497,7.74,560,8.72,49,0.76,"28.09.03",0.8,"28.09.03",0.84
41813,"Neukirchen bei Lambach        ",639,532,83.26,10,1.88,522,98.12,277,53.07,113,21.65,87,16.67,42,8.05,3,0.57,"28.09.03",0.58,"28.09.03",0.58
